"bankmsb","banklsb","prog","gname","tname"
0,0,0,"Piano","Yamaha Grand Piano"
0,0,1,"Piano","Bright Yamaha Grand"
0,0,2,"Piano","Electric Piano"
0,0,3,"Piano","Honky Tonk"
0,0,4,"E.Piano","Rhodes EP"
0,0,5,"E.Piano","Legend EP 2"
0,0,6,"Key","Harpsichord"
0,0,7,"Key","Clavinet"
0,0,8,"Key","Celesta"
0,0,9,"Misc","Glockenspiel"
0,0,10,"Misc","Music Box"
0,0,11,"Misc","Vibraphone"
0,0,12,"Perc","Marimba"
0,0,13,"Perc","Xylophone"
0,0,14,"Bell","Tubular Bells"
0,0,15,"Bell","Dulcimer"
0,0,16,"Organ","DrawbarOrgan"
0,0,17,"Organ","Percussive Organ"
0,0,18,"Organ","Rock Organ"
0,0,19,"Organ","Church Organ"
0,0,20,"Organ","Reed Organ"
0,0,21,"Misc","Accordian"
0,0,22,"Misc","Harmonica"
0,0,23,"Misc","Bandoneon"
0,0,24,"Guitar","Nylon String Guitar"
0,0,25,"Guitar","Steel String Guitar"
0,0,26,"Guitar","Jazz Guitar"
0,0,27,"Guitar","Clean Guitar"
0,0,28,"Guitar","Palm Muted Guitar"
0,0,29,"Guitar","Overdrive Guitar"
0,0,30,"Guitar","Distortion Guitar"
0,0,31,"Guitar","Guitar Harmonics"
0,0,32,"Bass","Acoustic Bass"
0,0,33,"Bass","Fingered Bass"
0,0,34,"Bass","Picked Bass"
0,0,35,"Bass","Fretless Bass"
0,0,36,"Bass","Slap Bass"
0,0,37,"Bass","Pop Bass"
0,0,38,"Bass","Synth Bass 1"
0,0,39,"Bass","Synth Bass 2"
0,0,40,"Str/Solo","Violin"
0,0,41,"Str/Solo","Viola"
0,0,42,"Str/Solo","Cello"
0,0,43,"Str/Solo","Contrabass"
0,0,44,"Str/Solo","Tremolo"
0,0,45,"Str/Pizz","Pizzicato Section"
0,0,46,"Orch","Harp"
0,0,47,"Orch","Timpani"
0,0,48,"Str/Ens","Strings"
0,0,49,"Str/Ens","Slow Strings"
0,0,50,"Str/Syn","Synth Strings 1"
0,0,51,"Str/Syn","Synth Strings 2"
0,0,52,"Choir","Ahh Choir"
0,0,53,"Choir","Ohh Voices"
0,0,54,"Choir","Synth Voice"
0,0,55,"Orch","Orchestra Hit"
0,0,56,"Brass","Trumpet"
0,0,57,"Brass","Trombone"
0,0,58,"Brass","Tuba"
0,0,59,"Brass","Muted Trumpet"
0,0,60,"Brass","French Horns"
0,0,61,"Brass","Brass Section"
0,0,62,"Brass","Synth Brass 1"
0,0,63,"Brass","Synth Brass 2"
0,0,64,"Reed","Soprano Sax"
0,0,65,"Reed","Alto Sax"
0,0,66,"Reed","Tenor Sax"
0,0,67,"Reed","Baritone Sax"
0,0,68,"Reed","Oboe"
0,0,69,"Reed","English Horn"
0,0,70,"Reed","Bassoon"
0,0,71,"Reed","Clarinet"
0,0,72,"Reed","Piccolo"
0,0,73,"Reed","Flute"
0,0,74,"Reed","Recorder"
0,0,75,"Reed","Pan Flute"
