"bankmsb","banklsb","prog","gname","tname"
80,0,0,"","MonoDistLead"
80,0,1,"","Europa Strings"
80,0,2,"","Ac.Piano 1"
80,0,3,"","DirtyPurple"
80,0,4,"","VP330Cho+PipOrg"
80,0,5,"","VS+D50+Wave"
80,0,6,"","Rhodes Pad"
80,0,7,"","Velo-Crunch"
80,0,8,"","P5 Sync Lead"
80,0,9,"","All The Tapes"
80,0,10,"","Digital Rhodes"
80,0,11,"","Tron Choir"
80,0,12,"","Thick Matrix"
80,0,13,"","2600 TRIbell"
80,0,14,"","Descender"
80,0,15,"","Talking Bs"
80,0,16,"","Expressolo"
80,0,17,"","JP+OB Strngs"
80,0,18,"","ElectraPiano"
80,0,19,"","OBig Poly"
80,0,20,"","Snow Lake"
80,0,21,"","Beauty Stack"
80,0,22,"","Voice Pipe Solo"
80,0,23,"","Clear Bells"
80,0,24,"","MG Ext.in Feedbk"
80,0,25,"","...to the Walls!"
80,0,26,"","Industrial Waste"
80,0,27,"","Spinning Horns"
80,0,28,"","Clipped 70s Keys"
80,0,29,"","Portamental"
80,0,30,"","StrawberyFlt"
80,0,31,"","MG Beef Bass"
80,0,32,"","Vectoring 2"
80,0,33,"","Golden Sands"
80,0,34,"","Harpsicord"
80,0,35,"","Tenor Break"
80,0,36,"","Ming Dynasty"
80,0,37,"","JD's Sentiment"
80,0,38,"","World -<:>- Lead"
80,0,39,"","OvdrCleanGuitar"
80,0,40,"","Flourish"
80,0,41,"","Vectoring 3"
80,0,42,"","Crystal Rhodes 1"
80,0,43,"","Mo Funk Bass"
80,0,44,"","Wailing Guitar"
80,0,45,"","Ghosts"
80,0,46,"","Digirez Lead"
80,0,47,"","Radio"
80,0,48,"","Lover Dance"
80,0,49,"","Thor!!!"
80,0,50,"","Space Harp"
80,0,51,"","SyncStringsBass"
80,0,52,"","Gamelan 990"
80,0,53,"","Velo Syn Strings"
80,0,54,"","Fusionic"
80,0,55,"","CrazyHorse"
80,0,56,"","Ring Boom"
80,0,57,"","The RiverII.:.:."
80,0,58,"","Piano & Voice"
80,0,59,"","Big Apple Bass"
80,0,60,"","Book Mark"
80,0,61,"","Bell-Ringer 990"
80,0,62,"","Analog 5th Lead"
80,0,63,"","Mellowtron Str"
80,0,64,"","Andromida Wash"
80,0,65,"","Phazamento"
80,0,66,"","Memory MG Pad 1"
80,0,67,"","VP-330 Choir"
80,0,68,"","Snow Lake"
80,0,69,"","D50 Stacc.Heaven"
80,0,70,"","Clipped 70s Keys"
80,0,71,"","Pulsey Heaven"
80,0,72,"","80's O-B-X-a"
80,0,73,"","Mother Matrix"
80,0,74,"","Mini MG Lead 1"
80,0,75,"","Industrial Waste"
80,0,76,"","Mr.B!"
80,0,77,"","Purple & Deep"
80,0,78,"","Spinning Horns"
80,0,79,"","WatcherOfTheSkys"
80,0,80,"","Big Tron Vox"
80,0,81,"","All The Tapes"
80,0,82,"","OB Thick & Quick"
80,0,83,"","StrawberyFlt"
80,0,84,"","Tron Strings"
80,0,85,"","Big Pad Swp"
80,0,86,"","OB Synthy"
80,0,87,"","Pro-10 Brass"
80,0,88,"","D50 Bellpad2"
80,0,89,"","VCO Wurly"
80,0,90,"","MemoryMG STR"
80,0,91,"","OB Thick Pad"
80,0,92,"","CS Strings"
80,0,93,"","Majesty Pad"
80,0,94,"","Reso MG Bass"
80,0,95,"","TB303 AcidBs"
80,0,96,"","2600 Reso Bs"
80,0,97,"","P5 Sync Rush"
80,0,98,"","Initial Patch"
80,0,99,"","Initial Patch"
80,0,100,"","Initial Patch"
80,0,101,"","Initial Patch"
80,0,102,"","Initial Patch"
80,0,103,"","Initial Patch"
80,0,104,"","Initial Patch"
80,0,105,"","Initial Patch"
80,0,106,"","Initial Patch"
80,0,107,"","Initial Patch"
80,0,108,"","Initial Patch"
80,0,109,"","Initial Patch"
80,0,110,"","Initial Patch"
80,0,111,"","Initial Patch"
80,0,112,"","Initial Patch"
80,0,113,"","Initial Patch"
80,0,114,"","Initial Patch"
80,0,115,"","Initial Patch"
80,0,116,"","Initial Patch"
80,0,117,"","Initial Patch"
80,0,118,"","Initial Patch"
80,0,119,"","Initial Patch"
80,0,120,"","Initial Patch"
80,0,121,"","Initial Patch"
80,0,122,"","Initial Patch"
80,0,123,"","Initial Patch"
80,0,124,"","Initial Patch"
80,0,125,"","Initial Patch"
80,0,126,"","Initial Patch"
80,0,127,"","Initial Patch"
81,0,0,"","Killer Pad"
81,0,1,"","Pulse Pad"
81,0,2,"","Lovely Vox Pad"
81,0,3,"","Tempest"
81,0,4,"","Deep Breath Pad"
