"bankmsb","banklsb","prog","gname","tname"
0,0,0,"Orchestral","Trinity Overture"
0,0,1,"Bass Splits","Old School Split"
0,0,2,"Motion Synth","Vox Morphing"
0,0,3,"Keyboard","AirPianoEnsemble"
0,0,4,"Guitar","NewSetOfStrings"
0,0,5,"Complex","Maximum Impact"
0,0,6,"Horn Section","Killer Miller!"
0,0,7,"Ethnic/Trad.","Shakoto"
0,0,8,"Strings","Chamber Strings"
0,0,9,"Bass Splits","Bass & Piano/SW1"
0,0,10,"Breathy/Airy","Breath Of Fire"
0,0,11,"Organ","Big Perc Organ"
0,0,12,"Pad & Lead","Soprano Winds"
0,0,13,"Drums/Special FX","JamYourButtOff !"
0,0,14,"Synth","Megasaurus Rex"
0,0,15,"Bell & Mallet","Adventure Bells"
0,0,16,"Orchestral","Sad Movie Scene"
0,0,17,"Bass Splits","Phat Tip Split"
0,0,18,"Motion Synth","Dragon's World"
0,0,19,"Keyboard","MIDI Piano"
0,0,20,"Bass","Dyna Slap Bass"
0,0,21,"Keyboard","Piano & Strings"
0,0,22,"Horn Section","Brass Band"
0,0,23,"Ethnic/Trad.","Stubenmusik"
0,0,24,"Strings","Deep Strings"
0,0,25,"Bass Splits","Standup&Polytone"
0,0,26,"Breathy/Airy","~Secret~Garden~"
0,0,27,"Organ","Jazzy Organ 1"
0,0,28,"Pad & Lead","milesAFTERmiles"
0,0,29,"Drums/Special FX","Virtual Joystick"
0,0,30,"Synth","Synthinity"
0,0,31,"Bell & Mallet","Jamaican Stuff"
0,0,32,"Orchestral","Scoring Horns"
0,0,33,"Bass Splits","Modern Ensemble"
0,0,34,"Motion Synth","Meet Thy Doom..."
0,0,35,"Keyboard","TineOnYourHands"
0,0,36,"Guitar","DG:Y! DistGuitar"
0,0,37,"Guitar","DG:WoWDistGuitar"
0,0,38,"Guitar","DG:MuteFeelDistG"
0,0,39,"Guitar","DG:HalfClDistG"
0,0,40,"Orchestral","Masterpiece"
0,0,41,"Bass Splits","Soul InSpaceport"
0,0,42,"Breathy/Airy","DurangosDaughter"
0,0,43,"Organ","Tutti Pipe 1"
0,0,44,"Pad & Lead","Ld:SuperLdSplit"
0,0,45,"Pad & Lead","Ld:MonsterMGLd"
0,0,46,"Pad & Lead","Ld:EspressoLd"
0,0,47,"Bell & Mallet","Bellish Maniacs"
0,0,48,"Orchestral","OrchestralHero33"
0,0,49,"Bass Splits","Euro Trance Time"
0,0,50,"Motion Synth","{Lonely} [Alien]"
0,0,51,"Keyboard","Clav Attack"
0,0,52,"Bass","   -> R U D E <-"
0,0,53,"Complex","In The Pyramid"
0,0,54,"Orchestral","Real Harp Gliss"
0,0,55,"Ethnic/Trad.","Taste Of Ireland"
0,0,56,"Strings","String Ensemble"
0,0,57,"Bass Splits","NuJazz Split"
0,0,58,"Breathy/Airy","Orbital Voices"
0,0,59,"Organ","The Gospel Truth"
0,0,60,"Pad & Lead","Beauty&THE BEAST"
0,0,61,"Drums/Special FX","Jungle Predator"
0,0,62,"Synth","Dark Analog Pad"
0,0,63,"Bell & Mallet","Meet The Bushmen"
0,0,64,"Orchestral","Woodwind Ens. 1"
0,0,65,"Bass Splits","Miles Ahead"
0,0,66,"Motion Synth","Aqua Marine"
0,0,67,"Keyboard","Player's Layers"
0,0,68,"Guitar","Parker(both p/u)"
0,0,69,"Complex","Street Fighter"
0,0,70,"Horn Section","Brassband w/Mute"
0,0,71,"Ethnic/Trad.","Winds of India"
0,0,72,"Orchestral","Scoring Woods"
0,0,73,"Bass Splits","The Fleas R here"
